Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
257,Marquez Valdes-Scantling,GB,WR,1,3,3.0,1.0,3,0,0,0,0,0.0,0
257,Hakeem Valles,DET,TE,1,5,5.0,2.5,5,0,0,0,0,0.0,0
257,Jonathan Williams,NO,RB,1,1,1.0,0.3,1,0,0,0,0,0.0,0
257,Chad Williams,ARI,WR,1,8,8.0,2.7,8,0,0,0,0,0.0,0
310,Doug Baldwin,SEA,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Orson Charles,CLE,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Jehu Chesson,WAS,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Sammie Coates,HOU,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Mason Crosby,GB,K,0,0,--,0.0,--,0,0,0,0,--,0
310,Alan Cross,TB,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Rico Gathers,DAL,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Shelton Gibson,PHI,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Xavier Grimble,PIT,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Ryan Hewitt,IND,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Lamar Jackson,BAL,QB,0,0,--,0.0,--,0,0,0,0,--,0
310,Blake Jarwin,DAL,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Matt LaCosse,DEN,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Jordan Leggett,NYJ,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Marcedes Lewis,GB,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Freddie Martino,TB,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Riley McCarron,NE,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,David Moore,SEA,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,J.J. Nelson,ARI,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Eric Saubert,ATL,TE,0,0,--,0.0,--,0,0,0,0,--,0
310,Russell Shepard,NYG,WR,0,0,--,0.0,--,0,0,0,0,--,0
310,Rod Smith,DAL,RB,0,0,--,0.0,--,0,0,0,0,--,0
310,Mike Wallace,PHI,WR,0,0,--,0.0,--,0,0,0,0,--,0
