Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
108,ChrisIvory,BUF,RB,3,3.0,3,1.0,3.0,0,3,0,0.0,0,0,0

108,DJMoore,CAR,WR,1,1.0,3,3.0,3.0,0,3,0,0.0,0,0,0

112,TomBrady,NE,QB,1,1.0,2,2.0,2.0,0,2,1,100.0,0,0,0

112,EliManning,NYG,QB,1,1.0,2,2.0,2.0,0,2,0,0.0,0,0,0

112,AndreRoberts,NYJ,WR,1,1.0,2,2.0,2.0,0,2,0,0.0,0,0,0

115,AlexArmah,CAR,FB,1,1.0,1,1.0,1.0,1,1T,1,100.0,0,0,0

115,TavonAustin,DAL,WR,1,1.0,1,1.0,1.0,0,1,0,0.0,0,0,0

115,JohnBrown,BAL,WR,1,1.0,1,1.0,1.0,0,1,0,0.0,0,0,0

115,DerekCarr,OAK,QB,2,2.0,1,0.5,1.0,0,6,0,0.0,0,0,0

115,NathanPeterman,BUF,QB,1,1.0,1,1.0,1.0,0,1,0,0.0,0,0,0

115,JacquizzRodgers,TB,RB,2,2.0,1,0.5,1.0,0,3,0,0.0,0,0,0

115,DerekWatt,LAC,FB,1,1.0,1,1.0,1.0,0,1,1,100.0,0,0,0

122,CoreyBojorquez,BUF,P,1,1.0,0,0.0,0.0,0,0,0,0.0,0,0,1

122,DamienWilliams,KC,RB,1,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0

122,JonathanWilliams,NO,RB,1,1.0,0,0.0,0.0,0,0,0,0.0,0,0,0

125,OdellBeckham,NYG,WR,1,1.0,-1,-1.0,-1.0,0,-1,0,0.0,0,0,0

125,MattCassel,DET,QB,1,1.0,-1,-1.0,-1.0,0,-1,0,0.0,0,0,0

125,SamDarnold,NYJ,QB,6,6.0,-1,-0.2,-1.0,0,6,1,16.7,0,0,0

125,NickFoles,PHI,QB,1,1.0,-1,-1.0,-1.0,0,-1,0,0.0,0,0,0

125,WayneGallman,NYG,RB,1,1.0,-1,-1.0,-1.0,0,-1,0,0.0,0,0,0

125,JaredGoff,LA,QB,1,1.0,-1,-1.0,-1.0,0,-1,0,0.0,0,0,0

131,GiovaniBernard,CIN,RB,1,1.0,-2,-2.0,-2.0,0,-2,0,0.0,0,0,0

132,LeGarretteBlount,DET,RB,4,4.0,-3,-0.8,-3.0,0,3,0,0.0,0,0,0

133,DeAndreHopkins,HOU,WR,1,1.0,-7,-7.0,-7.0,0,-7,0,0.0,0,0,0

134,RobbyAnderson,NYJ,WR,1,1.0,-9,-9.0,-9.0,0,-9,0,0.0,0,0,0
