Rank,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Long,TDs,20+,40+,1st,1st%,Fumbles
217,Rishard Matthews,TEN,WR,3,11,3.7,3.7,4,0,0,0,0,0.0,0
217,Alfred Morris,SF,RB,3,36,12.0,9.0,16,0,0,0,2,66.7,0
217,James O'Shaughnessy,JAX,TE,3,45,15.0,11.2,17,0,0,0,3,100.0,0
217,Niles Paul,JAX,TE,3,33,11.0,8.2,22,0,1,0,1,33.3,0
217,Logan Paulsen,ATL,TE,3,38,12.7,9.5,17T,1,0,0,3,100.0,0
217,Dante Pettis,SF,WR,3,96,32.0,24.0,39,1,3,0,3,100.0,0
217,C.J. Prosise,SEA,RB,3,22,7.3,7.3,8,0,0,0,0,0.0,0
217,Aldrick Robinson,MIN,WR,3,42,14.0,21.0,17T,2,0,0,2,66.7,0
217,Demarcus Robinson,KC,WR,3,34,11.3,8.5,23,1,1,0,2,66.7,0
217,Keith Smith,OAK,RB,3,14,4.7,3.5,7,0,0,0,2,66.7,0
217,Lee Smith,OAK,TE,3,23,7.7,5.8,10,0,0,0,1,33.3,0
217,Neal Sterling,NYJ,TE,3,27,9.0,13.5,12,0,0,0,1,33.3,0
217,Jordan Thomas,HOU,TE,3,80,26.7,20.0,39,0,2,0,3,100.0,0
217,Levine Toilolo,DET,TE,3,19,6.3,4.8,8,0,0,0,2,66.7,0
217,Eric Tomlinson,NYJ,TE,3,45,15.0,11.2,24,0,1,0,2,66.7,0
217,Spencer Ware,KC,RB,3,37,12.3,9.2,15,0,0,0,1,33.3,0
217,Damien Williams,KC,RB,3,18,6.0,4.5,9,0,0,0,1,33.3,0
254,Peyton Barber,TB,RB,2,13,6.5,3.2,7,0,0,0,1,50.0,0
254,Travis Benjamin,LAC,WR,2,3,1.5,1.5,2,0,0,0,0,0.0,0
254,Mike Boone,MIN,RB,2,1,0.5,0.5,1,0,0,0,0,0.0,0
254,Malcolm Brown,LA,RB,2,18,9.0,4.5,9,0,0,0,1,50.0,0
254,D.J. Chark,JAX,WR,2,19,9.5,4.8,13,0,0,0,0,0.0,1
254,Derrick Coleman,ARI,RB,2,17,8.5,4.2,12,0,0,0,1,50.0,0
254,Tyler Conklin,MIN,TE,2,13,6.5,3.2,7,0,0,0,1,50.0,0
254,A.J. Derby,MIA,TE,2,35,17.5,11.7,19T,1,0,0,2,100.0,0
254,Robert Foster,BUF,WR,2,30,15.0,7.5,19,0,0,0,2,100.0,0
254,Josh Gordon,NE,WR,2,32,16.0,32.0,19,0,0,0,2,100.0,0
254,Dwayne Harris,OAK,WR,2,11,5.5,3.7,7,0,0,0,0,0.0,0
254,Andy Janovich,DEN,FB,2,43,21.5,10.8,32,0,1,0,1,50.0,0
254,Darius Jennings,TEN,WR,2,13,6.5,3.2,7,0,0,0,0,0.0,0
254,Marcus Johnson,IND,WR,2,24,12.0,8.0,16,0,0,0,1,50.0,0
254,Aaron Jones,GB,RB,2,22,11.0,11.0,17,0,0,0,1,50.0,0
254,T.J. Jones,DET,WR,2,10,5.0,2.5,6,0,0,0,1,50.0,0
254,Jeremy Kerley,BUF,WR,2,7,3.5,7.0,4,0,0,0,0,0.0,0
254,Sony Michel,NE,RB,2,6,3.0,2.0,7,0,0,0,0,0.0,0
254,DJ Moore,CAR,WR,2,54,27.0,18.0,51T,1,1,1,1,50.0,0
254,David Moore,SEA,WR,2,39,19.5,9.8,30,0,1,0,2,100.0,1
254,Marcus Murphy,BUF,RB,2,8,4.0,2.7,7,0,0,0,0,0.0,0
254,Greg Olsen,CAR,TE,2,33,16.5,33.0,19,0,0,0,1,50.0,0
254,DeVante Parker,MIA,WR,2,40,20.0,40.0,36,0,1,0,1,50.0,0
254,Anthony Sherman,KC,RB,2,52,26.0,13.0,36T,1,1,0,2,100.0,0
254,Dion Sims,CHI,TE,2,9,4.5,2.2,9,0,0,0,0,0.0,0
254,Jonnu Smith,TEN,TE,2,21,10.5,5.2,12,0,0,0,2,100.0,0
254,Erik Swoope,IND,TE,2,20,10.0,10.0,13,0,0,0,1,50.0,0
254,De'Anthony Thomas,KC,WR,2,16,8.0,4.0,15,1,0,0,2,100.0,0
254,Logan Thomas,BUF,TE,2,31,15.5,15.5,24,0,1,0,2,100.0,0
254,Marquez Valdes-Scantling,GB,WR,2,41,20.5,10.2,38,0,1,0,1,50.0,0
254,Hakeem Valles,DET,TE,2,11,5.5,3.7,6,0,0,0,0,0.0,0
254,Mark Walton,CIN,RB,2,28,14.0,14.0,24,0,1,0,1,50.0,0
254,Terrance Williams,DAL,WR,2,18,9.0,6.0,12,0,0,0,1,50.0,0
254,Chad Williams,ARI,WR,2,30,15.0,7.5,22T,1,1,0,1,50.0,0
254,Shaun Wilson,TB,RB,2,9,4.5,3.0,5,0,0,0,0,0.0,0
289,Mo Alie-Cox,IND,TE,1,17,17.0,17.0,17,0,0,0,0,0.0,0
289,Dwayne Allen,NE,TE,1,-4,-4.0,-1.0,-4,0,0,0,0,0.0,0
