Rk,Player,Team,Pos,Rec,Yds,Avg,Yds/G,Lng,TD,20+,40+,1st,1st%,FUM
26,QuincyEnunwa,NYJ,WR,6,63,10.5,63.0,21T,1,1,0,4,66.7,0

26,A.J.Green,CIN,WR,6,92,15.3,92.0,38T,1,1,0,5,83.3,2

26,ChristianMcCaffrey,CAR,RB,6,45,7.5,45.0,14,0,0,0,3,50.0,0

26,AdamThielen,MIN,WR,6,102,17.0,102.0,34,0,1,0,6,100.0,0

26,DemaryiusThomas,DEN,WR,6,63,10.5,63.0,23,1,1,0,6,100.0,0

26,ChrisThompson,WAS,RB,6,63,10.5,63.0,23,1,1,0,4,66.7,0

34,DavanteAdams,GB,WR,5,88,17.6,88.0,51,1,1,1,4,80.0,0

34,JavoriusAllen,BAL,RB,5,15,3.0,15.0,11,0,0,0,1,20.0,0

34,GeronimoAllison,GB,WR,5,69,13.8,69.0,39T,1,1,0,3,60.0,0

34,JamesConner,PIT,RB,5,57,11.4,57.0,19,0,0,0,3,60.0,0

34,BrandinCooks,LA,WR,5,87,17.4,87.0,30,0,2,0,4,80.0,0

34,AustinEkeler,LAC,RB,5,87,17.4,87.0,30,1,1,0,4,80.0,0

34,ZachErtz,PHI,TE,5,48,9.6,48.0,18,0,0,0,1,20.0,0

34,TaylorGabriel,CHI,WR,5,25,5.0,25.0,31,0,1,0,1,20.0,0

34,TedGinn,NO,WR,5,68,13.6,68.0,28T,1,1,0,3,60.0,0

34,JakeemGrant,MIA,WR,5,38,7.6,38.0,13,0,0,0,2,40.0,0

34,T.Y.Hilton,IND,WR,5,46,9.2,46.0,13,1,0,0,3,60.0,0

34,JordanHoward,CHI,RB,5,25,5.0,25.0,7,0,0,0,0,0.0,0

34,DeSeanJackson,TB,WR,5,146,29.2,146.0,58T,2,3,1,4,80.0,0

34,DavidJohnson,ARI,RB,5,30,6.0,30.0,16,0,0,0,1,20.0,0

34,GeorgeKittle,SF,TE,5,90,18.0,90.0,36,0,1,0,4,80.0,0

34,CooperKupp,LA,WR,5,52,10.4,52.0,12,1,0,0,4,80.0,0

34,DionLewis,TEN,RB,5,35,7.0,35.0,13,0,0,0,2,40.0,0

34,JoeMixon,CIN,RB,5,54,10.8,54.0,21,0,1,0,2,40.0,0

34,TheoRiddick,DET,RB,5,15,3.0,15.0,5,0,0,0,1,20.0,0

34,SterlingShepard,NYG,WR,5,48,9.6,48.0,16,0,0,0,3,60.0,0

34,JuJuSmith-Schuster,PIT,WR,5,119,23.8,119.0,67,0,2,1,4,80.0,0

34,DedeWestbrook,JAX,WR,5,51,10.2,51.0,20,0,1,0,4,80.0,0

34,MikeWilliams,LAC,WR,5,81,16.2,81.0,25,0,2,0,5,100.0,0

57,DannyAmendola,MIA,WR,4,26,6.5,26.0,8,0,0,0,0,0.0,0

57,JamesDevelin,NE,FB,4,22,5.5,22.0,10,0,0,0,1,25.0,0

57,EricEbron,IND,TE,4,51,12.8,51.0,26T,1,1,0,2,50.0,0

57,ChaseEdmonds,ARI,RB,4,24,6.0,24.0,8,0,0,0,0,0.0,0

57,BruceEllington,HOU,WR,4,37,9.3,37.0,14,1,0,0,3,75.0,0

57,MarvinJones,DET,WR,4,54,13.5,54.0,28,0,1,0,3,75.0,0

57,RashaadPenny,SEA,RB,4,35,8.8,35.0,15,0,0,0,1,25.0,0

57,JordanReed,WAS,TE,4,48,12.0,48.0,22,1,1,0,3,75.0,0

57,PaulRichardson,WAS,WR,4,22,5.5,22.0,7,0,0,0,1,25.0,0

57,AllenRobinson,CHI,WR,4,61,15.3,61.0,33,0,1,0,3,75.0,0

57,MohamedSanu,ATL,WR,4,18,4.5,18.0,10,0,0,0,1,25.0,0

57,WillieSnead,BAL,WR,4,49,12.3,49.0,20,1,1,0,3,75.0,0

57,DarrenSproles,PHI,RB,4,22,5.5,22.0,9,0,0,0,1,25.0,0

57,KennyStills,MIA,WR,4,106,26.5,106.0,75T,2,1,1,3,75.0,0

57,TrentTaylor,SF,WR,4,28,7.0,28.0,10,0,0,0,1,25.0,0

57,DelanieWalker,TEN,TE,4,52,13.0,52.0,16,0,0,0,4,100.0,0

57,BenjaminWatson,NO,TE,4,44,11.0,44.0,21,0,1,0,4,100.0,0

57,JamesWhite,NE,RB,4,38,9.5,38.0,12T,1,0,0,2,50.0,0

75,MarkAndrews,BAL,TE,3,31,10.3,31.0,12,0,0,0,2,66.7,0

75,TylerBoyd,CIN,WR,3,26,8.7,26.0,17,0,0,0,1,33.3,0

75,NickBoyle,BAL,TE,3,40,13.3,40.0,25,0,1,0,2,66.7,0

75,JohnBrown,BAL,WR,3,44,14.7,44.0,29,1,1,0,2,66.7,0

75,ChrisCarson,SEA,RB,3,28,9.3,28.0,14,0,0,0,1,33.3,0

75,TarikCohen,CHI,RB,3,16,5.3,16.0,9,0,0,0,1,33.3,0

75,KeelanCole,JAX,WR,3,54,18.0,54.0,31,0,1,0,3,100.0,0

75,MichaelCrabtree,BAL,WR,3,38,12.7,38.0,20,1,1,0,2,66.7,0

75,JamisonCrowder,WAS,WR,3,32,10.7,32.0,17,0,0,0,2,66.7,0

75,StefonDiggs,MIN,WR,3,43,14.3,43.0,22T,1,1,0,2,66.7,0

75,WillDissly,SEA,TE,3,105,35.0,105.0,66,1,2,1,3,100.0,0

75,KenyanDrake,MIA,RB,3,18,6.0,18.0,10,0,0,0,1,33.3,0

75,TylerEifert,CIN,TE,3,44,14.7,44.0,29,0,1,0,1,33.3,0

75,EzekielElliott,DAL,RB,3,17,5.7,17.0,13,0,0,0,0,0.0,0

75,LeonardFournette,JAX,RB,3,14,4.7,14.0,11,0,0,0,2,66.7,0

75,DevontaFreeman,ATL,RB,3,14,4.7,14.0,14,0,0,0,0,0.0,0

75,DevinFunchess,CAR,WR,3,41,13.7,41.0,15,0,0,0,2,66.7,0

75,ChrisGodwin,TB,WR,3,41,13.7,41.0,16,1,0,0,3,100.0,1

75,ToddGurley,LA,RB,3,39,13.0,39.0,19T,1,0,0,2,66.7,0

75,AustinHooper,ATL,TE,3,24,8.0,24.0,15,0,0,0,0,0.0,0

75,AdamHumphries,TB,WR,3,27,9.0,27.0,20,0,1,0,1,33.3,0

75,JesseJames,PIT,TE,3,60,20.0,60.0,37,0,1,0,3,100.0,0

75,KerryonJohnson,DET,RB,3,20,6.7,20.0,9,0,0,0,0,0.0,0

75,ZayJones,BUF,WR,3,26,8.7,26.0,14,0,0,0,2,66.7,0

75,TylerLockett,SEA,WR,3,59,19.7,59.0,51T,1,1,1,1,33.3,0

75,BrandonMarshall,SEA,WR,3,46,15.3,46.0,20T,1,1,0,3,100.0,0

75,JordyNelson,OAK,WR,3,23,7.7,23.0,17,0,0,0,1,33.3,0

75,DavidNjoku,CLE,TE,3,13,4.3,13.0,8,0,0,0,0,0.0,0

75,TerrellePryor,NYJ,WR,3,49,16.3,49.0,20,0,1,0,3,100.0,0

75,ChesterRogers,IND,WR,3,18,6.0,18.0,8,0,0,0,2,66.7,0

75,RickySeals-Jones,ARI,TE,3,19,6.3,19.0,7,0,0,0,2,66.7,0

75,AustinSeferian-Jenkins,JAX,TE,3,25,8.3,25.0,13,0,0,0,1,33.3,0

75,NealSterling,NYJ,TE,3,27,9.0,27.0,12,0,0,0,1,33.3,0

75,GeoffSwaim,DAL,TE,3,18,6.0,18.0,11,0,0,0,2,66.7,0

75,DeonteThompson,DAL,WR,3,27,9.0,27.0,13,0,0,0,2,66.7,0

75,SammyWatkins,KC,WR,3,21,7.0,21.0,16,0,0,0,1,33.3,0

75,JordanWilkins,IND,RB,3,21,7.0,21.0,8,0,0,0,0,0.0,0

75,MaxxWilliams,BAL,TE,3,32,10.7,32.0,24,0,1,0,1,33.3,0

75,AlbertWilson,MIA,WR,3,31,10.3,31.0,21,0,1,0,2,66.7,0

75,RobertWoods,LA,WR,3,37,12.3,37.0,20,0,1,0,2,66.7,0

75,JariusWright,CAR,WR,3,23,7.7,23.0,10,0,0,0,2,66.7,1

75,T.J.Yeldon,JAX,RB,3,18,6.0,18.0,10,1,0,0,2,66.7,0

117,JordanAkins,HOU,TE,2,11,5.5,11.0,8,0,0,0,0,0.0,0

117,SaquonBarkley,NYG,RB,2,22,11.0,22.0,18,0,0,0,1,50.0,0

117,DevontaeBooker,DEN,RB,2,11,5.5,11.0,7,0,0,0,0,0.0,0

117,MalcolmBrown,LA,RB,2,18,9.0,18.0,9,0,0,0,1,50.0,0

117,JakeButt,DEN,TE,2,29,14.5,29.0,22,0,1,0,2,100.0,0

117,AustinCarr,NO,WR,2,20,10.0,20.0,11,0,0,0,0,0.0,0

117,DerekCarrier,OAK,TE,2,20,10.0,20.0,12,0,0,0,0,0.0,0

117,JasonCroom,BUF,TE,2,18,9.0,18.0,10,0,0,0,1,50.0,0

117,EvanEngram,NYG,TE,2,18,9.0,18.0,13,0,0,0,0,0.0,0

117,WayneGallman,NYG,RB,2,9,4.5,9.0,10,0,0,0,0,0.0,0

117,PierreGarcon,SF,WR,2,21,10.5,21.0,11,0,0,0,2,100.0,0

117,AntonioGates,LAC,TE,2,16,8.0,16.0,9,0,0,0,1,50.0,0

117,JimmyGraham,GB,TE,2,8,4.0,8.0,7,0,0,0,0,0.0,0

117,VirgilGreen,LAC,TE,2,21,10.5,21.0,15,0,0,0,1,50.0,0

117,O.J.Howard,TB,TE,2,54,27.0,54.0,35,0,1,0,2,100.0,0

117,JeremyKerley,BUF,WR,2,7,3.5,7.0,4,0,0,0,0,0.0,0

117,PhillipLindsay,DEN,RB,2,31,15.5,31.0,29T,1,1,0,1,50.0,0

117,MarshawnLynch,OAK,RB,2,8,4.0,8.0,6,0,0,0,0,0.0,0

117,DougMartin,OAK,RB,2,-3,-1.5,-3.0,-1,0,0,0,0,0.0,0

117,AnthonyMiller,CHI,WR,2,14,7.0,14.0,11,0,0,0,1,50.0,0

117,TyMontgomery,GB,RB,2,21,10.5,21.0,13,0,0,0,1,50.0,0

117,GregOlsen,CAR,TE,2,33,16.5,33.0,19,0,0,0,1,50.0,0

117,AdrianPeterson,WAS,RB,2,70,35.0,70.0,52,0,1,1,1,50.0,1

117,DantePettis,SF,WR,2,61,30.5,61.0,39,1,2,0,2,100.0,0

117,DionSims,CHI,TE,2,9,4.5,9.0,9,0,0,0,0,0.0,0

117,LukeStocker,TEN,TE,2,37,18.5,37.0,31,0,1,0,1,50.0,0

117,CourtlandSutton,DEN,WR,2,45,22.5,45.0,25,0,2,0,2,100.0,0

117,IanThomas,CAR,TE,2,4,2.0,4.0,7,0,0,0,0,0.0,0

117,LaquonTreadwell,MIN,WR,2,18,9.0,18.0,16,0,0,0,1,50.0,0

117,TyrellWilliams,LAC,WR,2,8,4.0,8.0,4T,1,0,0,1,50.0,0

147,RobbyAnderson,NYJ,WR,1,41,41.0,41.0,41T,1,1,1,1,100.0,0

147,KelvinBenjamin,BUF,WR,1,10,10.0,10.0,10,0,0,0,0,0.0,0

147,TravisBenjamin,LAC,WR,1,1,1.0,1.0,1,0,0,0,0,0.0,0

147,GiovaniBernard,CIN,RB,1,11,11.0,11.0,11,0,0,0,0,0.0,0

147,MattBreida,SF,RB,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,JaronBrown,SEA,WR,1,7,7.0,7.0,7,0,0,0,0,0.0,0

147,RexBurkhead,NE,RB,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,MichaelBurton,CHI,FB,1,6,6.0,6.0,6,0,0,0,1,100.0,0

147,TreyBurton,CHI,TE,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,TrentonCannon,NYJ,RB,1,6,6.0,6.0,6,0,0,0,1,100.0,0

147,DeAndreCarter,PHI,WR,1,10,10.0,10.0,10,0,0,0,1,100.0,0

147,TevinColeman,ATL,RB,1,26,26.0,26.0,26,0,1,0,1,100.0,0

147,AlexCollins,BAL,RB,1,6,6.0,6.0,6,0,0,0,0,0.0,0

147,TylerConklin,MIN,TE,1,6,6.0,6.0,6,0,0,0,1,100.0,0

147,ChrisConley,KC,WR,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,AmariCooper,OAK,WR,1,9,9.0,9.0,9,0,0,0,0,0.0,0

147,VernonDavis,WAS,TE,1,9,9.0,9.0,9,0,0,0,1,100.0,0

147,JoshDoctson,WAS,WR,1,11,11.0,11.0,11,0,0,0,1,100.0,0

147,RhettEllison,NYG,TE,1,16,16.0,16.0,16,0,0,0,0,0.0,0

147,TylerErvin,HOU,RB,1,12,12.0,12.0,12,0,0,0,0,0.0,0

147,DarrenFells,CLE,TE,1,12,12.0,12.0,12,0,0,0,1,100.0,0

147,NickFoles,PHI,QB,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,MichaelGallup,DAL,WR,1,9,9.0,9.0,9,0,0,0,0,0.0,0

147,MikeGesicki,MIA,TE,1,11,11.0,11.0,11,0,0,0,1,100.0,0

147,DallasGoedert,PHI,TE,1,4,4.0,4.0,4,0,0,0,0,0.0,0

147,JoshGordon,CLE,WR,1,17,17.0,17.0,17T,1,0,0,1,100.0,0

147,DerrickHenry,TEN,RB,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,JeffHeuerman,DEN,TE,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,RashardHiggins,CLE,WR,1,38,38.0,38.0,38,0,1,0,1,100.0,0

147,JeremyHill,NE,RB,1,6,6.0,6.0,6,0,0,0,0,0.0,0

147,JoshHill,NO,TE,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,ChrisHogan,NE,WR,1,11,11.0,11.0,11,0,0,0,1,100.0,0

147,AndreHolmes,BUF,WR,1,14,14.0,14.0,14,0,0,0,1,100.0,0

147,JustinHunter,PIT,WR,1,6,6.0,6.0,6,0,0,0,1,100.0,0

147,AllenHurns,DAL,WR,1,20,20.0,20.0,20,0,1,0,1,100.0,0

147,CarlosHyde,CLE,RB,1,3,3.0,3.0,3,0,0,0,0,0.0,0

147,DukeJohnson,CLE,RB,1,8,8.0,8.0,8,0,0,0,0,0.0,0

147,T.J.Jones,DET,WR,1,6,6.0,6.0,6,0,0,0,0,0.0,0

147,KyleJuszczyk,SF,RB,1,56,56.0,56.0,56,0,1,1,1,100.0,0

147,TravisKelce,KC,TE,1,6,6.0,6.0,6,0,0,0,0,0.0,0

147,LanceKendricks,GB,TE,1,13,13.0,13.0,13,0,0,0,1,100.0,0

147,ChristianKirk,ARI,WR,1,4,4.0,4.0,4,0,0,0,0,0.0,0

147,TylerKroft,CIN,TE,1,9,9.0,9.0,9,0,0,0,1,100.0,0

147,TreMadden,SEA,FB,1,7,7.0,7.0,7,0,0,0,0,0.0,0

147,LeSeanMcCoy,BUF,RB,1,-1,-1.0,-1.0,-1,0,0,0,0,0.0,0

147,LamarMiller,HOU,RB,1,11,11.0,11.0,11,0,0,0,0,0.0,0

147,DonteMoncrief,JAX,WR,1,14,14.0,14.0,14,0,0,0,1,100.0,0

147,ChrisMoore,BAL,WR,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,DavidMorgan,MIN,TE,1,9,9.0,9.0,9,0,0,0,1,100.0,0

147,ZachPascal,IND,WR,1,18,18.0,18.0,18,0,0,0,1,100.0,0

147,CordarrellePatterson,NE,WR,1,6,6.0,6.0,6,0,0,0,1,100.0,0

147,BilalPowell,NYJ,RB,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,SethRoberts,OAK,WR,1,11,11.0,11.0,11,0,0,0,1,100.0,0

147,JacquizzRodgers,TB,RB,1,2,2.0,2.0,2,0,0,0,0,0.0,0

147,JohnRoss,CIN,WR,1,3,3.0,3.0,3T,1,0,0,1,100.0,0

147,KyleRudolph,MIN,TE,1,11,11.0,11.0,11T,1,0,0,1,100.0,0

147,TajaeSharpe,TEN,WR,1,17,17.0,17.0,17,0,0,0,1,100.0,0

147,AnthonySherman,KC,RB,1,36,36.0,36.0,36T,1,1,0,1,100.0,0

147,TorreySmith,CAR,WR,1,15,15.0,15.0,15,0,0,0,1,100.0,0

147,JonnuSmith,TEN,TE,1,12,12.0,12.0,12,0,0,0,1,100.0,0

147,ErikSwoope,IND,TE,1,13,13.0,13.0,13,0,0,0,1,100.0,0

147,LoganThomas,BUF,TE,1,24,24.0,24.0,24,0,1,0,1,100.0,0

147,JordanThomas,HOU,TE,1,27,27.0,27.0,27,0,1,0,1,100.0,0

147,De'AnthonyThomas,KC,WR,1,1,1.0,1.0,1T,1,0,0,1,100.0,0

147,LevineToilolo,DET,TE,1,7,7.0,7.0,7,0,0,0,1,100.0,0

147,EricTomlinson,NYJ,TE,1,7,7.0,7.0,7,0,0,0,0,0.0,0

147,C.J.Uzomah,CIN,TE,1,4,4.0,4.0,4,0,0,0,0,0.0,0

147,HakeemValles,DET,TE,1,5,5.0,5.0,5,0,0,0,0,0.0,0

147,NickVannett,SEA,TE,1,11,11.0,11.0,11,0,0,0,1,100.0,0

147,SpencerWare,KC,RB,1,8,8.0,8.0,8,0,0,0,0,0.0,0

147,TerranceWilliams,DAL,WR,1,6,6.0,6.0,6,0,0,0,0,0.0,0

218,DougBaldwin,SEA,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,KendrickBourne,SF,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,CameronBrate,TB,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,AntonioCallaway,CLE,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,CharlesClay,BUF,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,SammieCoates,HOU,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,AlanCross,TB,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,RobertFoster,BUF,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,MarquiseGoodwin,SF,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,RyanGriffin,HOU,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,C.J.Ham,MIN,FB,0,0,--,0.0,--,0,0,0,0,--,0

218,KareemHunt,KC,RB,0,0,--,0.0,--,0,0,0,0,--,0

218,BlakeJarwin,DAL,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,MattLaCosse,DEN,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,ZachLine,NO,RB,0,0,--,0.0,--,0,0,0,0,--,0

218,FreddieMartino,TB,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,RileyMcCarron,NE,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,DavidMoore,SEA,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,MarcusMurphy,BUF,RB,0,0,--,0.0,--,0,0,0,0,--,0

218,JamesO'Shaughnessy,JAX,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,TimPatrick,DEN,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,NilesPaul,JAX,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,CalvinRidley,ATL,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,EricSaubert,ATL,TE,0,0,--,0.0,--,0,0,0,0,--,0

218,RodSmith,DAL,RB,0,0,--,0.0,--,0,0,0,0,--,0

218,VyncintSmith,HOU,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,Tre'QuanSmith,NO,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,RyanSwitzer,PIT,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,TaywanTaylor,TEN,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,MikeWallace,PHI,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,JamaalWilliams,GB,RB,0,0,--,0.0,--,0,0,0,0,--,0

218,ChadWilliams,ARI,WR,0,0,--,0.0,--,0,0,0,0,--,0

218,LukeWillson,DET,TE,0,0,--,0.0,--,0,0,0,0,--,0
